ID CNAE,CNAE,SETOR
a01113,Cultivo de cereais,agropecuaria
a01121,Cultivo de algodão herbáceo,agropecuaria
a01130,Cultivo de cana-de-açúcar,agropecuaria
a01148,Cultivo de fumo,agropecuaria
a01156,Cultivo de soja,agropecuaria
a01164,Cultivo de oleaginosas,agropecuaria
a01199,Cultivo de outras plantas de lavoura temporária,agropecuaria
a01211,Horticultura,agropecuaria
a01229,Cultivo de flores e plantas ornamentais,agropecuaria
a01318,Cultivo de laranja,agropecuaria
a01326,Cultivo de uva,agropecuaria
a01334,Cultivo de frutas de lavoura permanente,agropecuaria
a01342,Cultivo de café,agropecuaria
a01351,Cultivo de cacau,agropecuaria
a01393,Cultivo de outras frutas de lavoura permanente,agropecuaria
a01415,Produção de sementes certificadas,agropecuaria
a01423,Produção de mudas,agropecuaria
a01512,Criação de bovinos,agropecuaria
a01521,Criação de outros animais de grande porte,agropecuaria
a01539,Criação de caprinos e ovinos,agropecuaria
a01547,Criação de suínos,agropecuaria
a01555,Criação de aves,agropecuaria
a01598,Criação de outros animais,agropecuaria
a01610,Atividades de apoio à agricultura,agropecuaria
a01628,Atividades de apoio à pecuária,agropecuaria
a01636,Atividades de pós-colheita,agropecuaria
a01709,Caça,agropecuaria
a02101,Produção florestal - florestas plantadas,agropecuaria
a02209,Produção florestal - florestas nativas,agropecuaria
a02306,Atividades de apoio à produção florestal,agropecuaria
a03116,Pesca em água salgada,agropecuaria
a03124,Pesca em água doce,agropecuaria
a03213,Aqüicultura em água salgada,agropecuaria
a03221,Aqüicultura em água doce,agropecuaria
b05003,Extração de carvão mineral,industria
b06000,Extração de petróleo e gás natural,industria
b07103,Extração de minério de ferro,industria
b07219,Extração de minério de alumínio,industria
b07227,Extração de minério de estanho,industria
b07235,Extração de minério de manganês,industria
b07243,Extração de metais preciosos,industria
b07251,Extração de minerais radioativos,industria
b07294,Extração de outros minerais metálicos não-ferrosos,industria
b08100,"Extração de pedra, areia e argila",industria
b08916,Extração de minerais para fabricação de adubos e fertilizantes,industria
b08924,Extração e refino de sal marinho,industria
b08932,Extração de gemas,industria
b08991,Extração de outros minerais não-metálicos,industria
b09106,Atividades de apoio à extração de petróleo e gás natural,servicos
b09904,Atividades de apoio à extração de minerais,servicos
c10112,Abate de reses,industria
